index	cname	code	exp	memo	unit
32	地区生产总值指数(上年=100)	A020201	地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。		
33	第一产业增加值指数(上年=100)	A020202	第一产业增加值指数是指反映一定时期内第一产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。		
34	第二产业增加值指数(上年=100)	A020203	第二产业增加值指数是指反映一定时期内第二产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。		
35	第三产业增加值指数(上年=100)	A020204	第三产业增加值指数是指反映一定时期内第三产业增加值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。		
36	收入法生产总值	A020301	从收入角度计算的地区生产总值，等于劳动者报酬、生产税净额、固定资产折旧和营业盈余之和。		亿元
37	劳动者报酬	A020302	劳动者报酬指劳动者因从事生产活动所获得的全部报酬。包括劳动者获得的各种形式的工资、奖金和津贴，既包括货币形式的，也包括实物形式的，还包括劳动者所享受的公费医疗和医药卫生费、上下班交通补贴、单位支付的社会保险费、住房公积金等。		亿元
38	生产税净额	A020303	生产税净额指生产税减生产补贴后的余额。生产税指政府对生产单位从事生产、销售和经营活动以及因从事生产活动使用某些生产要素(如固定资产、土地、劳动力)所征收的各种税、附加费和规费。生产补贴与生产税相反，指政府对生产单位的单方面转移支出，因此视为负生产税，包括政策亏损补贴、价格补贴等。		亿元
39	固定资产折旧	A020304	固定资产折旧指一定时期内为弥补固定资产损耗按照规定的固定资产折旧率提取的固定资产折旧，或按国民经济核算统一规定的折旧率虚拟计算的固定资产折旧。它反映了固定资产在当期生产中的转移价值。各类企业和企业化管理的事业单位的固定资产折旧是指实际计提的折旧费；不计提折旧的政府机关、非企业化管理的事业单位和居民住房的固定资产折旧是按照统一规定的折旧率和固定资产原值计算的虚拟折旧。原则上，固定资产折旧应按固定资产的重置价值计算，但是目前我国尚不具备对全社会固定资产进行重估价的基础，所以暂时只能采用上述办法。		亿元
40	营业盈余	A020305	营业盈余指常住单位创造的增加值扣除劳动者报酬、生产税净额和固定资产折旧后的余额。它相当于企业的营业利润加上生产补贴，但要扣除从利润中开支的工资和福利等。		亿元
41	支出法生产总值	A020401	支出法国内生产总值是从最终使用的角度反映一个国家(或地区)一定时期内生产活动最终成果的一种方法，包括最终消费支出、资本形成总额及货物和服务净出口三部分。计算公式为：支出法国内生产总值=最终消费支出+资本形成总额+货物和服务净出口	由于采取分级核算，各地区国内生产总值相加不等于全国总计。	亿元
42	最终消费	A020402	最终消费支出指常住单位为满足物质、文化和精神生活的需要，从本国经济领土和国外购买的货物和服务的支出。它不包括非常住单位在本国经济领土内的消费支出。最终消费支出分为居民消费支出和政府消费支出。		亿元
43	居民消费	A020403	居民消费支出指常住住户在一定时期内对于货物和服务的全部最终消费支出。居民消费支出除了直接以货币形式购买的货物和服务的消费支出外，还包括以其他方式获得的货物和服务的消费支出，即所谓的虚拟消费支出。居民虚拟消费支出包括如下几种类型：单位以实物报酬及实物转移的形式提供给劳动者的货物和服务；住户生产并由本住户消费了的货物和服务，其中的服务仅指住户的自有住房服务和付酬的家庭雇员提供的家庭和个人服务；金融机构提供的金融媒介服务。		亿元
44	农村居民消费	A020404			亿元
45	城镇居民消费	A020405			亿元
46	政府消费	A020406	政府消费支出指政府部门为全社会提供的公共服务的消费支出和免费或以较低的价格向居民住户提供的货物和服务的净支出，前者等于政府服务的产出价值减去政府单位所获得的经营收入的价值，后者等于政府部门免费或以较低价格向居民住户提供的货物和服务的市场价值减去向住户收取的价值。		亿元
47	资本形成总额	A020407	资本形成总额指常住单位在一定时期内获得减去处置的固定资产和存货的净额，包括固定资本形成总额和存货增加两部分。		亿元
48	固定资本形成总额	A020408	固定资本形成总额指常住单位在一定时期内获得的固定资产减处置的固定资产的价值总额。固定资产是通过生产活动生产出来的，且其使用年限在一年以上、单位价值在规定标准以上的资产，不包括自然资产。可分为有形固定资本形成总额和无形固定资本形成总额。有形固定资本形成总额包括一定时期内完成的建筑工程、安装工程和设备工器具购置(减处置)价值，以及土地改良、新增役、种、奶、毛、娱乐用牲畜和新增经济林木价值。无形固定资本形成总额包括矿藏的勘探、计算机软件等获得减处置。		亿元
49	存货增加	A020409	存货增加指常住单位在一定时期内存货实物量变动的市场价值，即期末价值减期初价值的差额，再扣除当期由于价格变动而产生的持有收益。存货增加可以是正值，也可以是负值，正值表示存货上升，负值表示存货下降。存货包括生产单位购进的原材料、燃料和储备物资等存货，以及生产单位生产的产成品、在制品和半成品等存货。		亿元
50	货物和服务净流出	A02040A	货物和服务净出口指货物和服务出口减货物和服务进口的差额。出口包括常住单位向非常住单位出售或无偿转让的各种货物和服务的价值；进口包括常住单位从非常住单位购买或无偿得到的各种货物和服务的价值。由于服务活动的提供与使用同时发生，一般把常住单位从非常住单位得到的服务作为进口，非常住单位从常住单位得到的服务作为出口。货物的出口和进口都按离岸价格计算。		亿元
51	最终消费率	A02040B			%
52	资本形成率	A02040C			%
53	居民消费水平	A020501	居民消费水平指按常住人口平均计算的居民消费支出。		元
54	农村居民消费水平	A020502			元
55	城镇居民消费水平	A020503			元
56	居民消费水平指数(上年=100)	A020504			
57	农村居民消费水平指数(上年=100)	A020505			
58	城镇居民消费水平指数(上年=100)	A020506			
59	年末常住人口	A030101	年末人口数指每年12月31日24时的人口数。年度统计的全国人口总数内未包括香港、澳门特别行政区和台湾省以及海外华侨人数。	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	万人
60	城镇人口	A030102	城镇人口是指居住在城镇范围内的全部常住人口。	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	万人
61	乡村人口	A030103	乡村人口是除城镇人口以外的全部人口。	2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。	万人
62	人口出生率	A030201	出生率(又称粗出生率)指在一定时期内(通常为一年)一定地区的出生人数与同期内平均人数(或期中人数)之比，用千分率表示。本资料中的出生率指年出生率，其计算公式为：出生率=年出生人口/年平均人口*1000‰  式中：出生人数指活产婴儿，即胎儿脱离母体时(不管怀孕月数)，有过呼吸或其他生命现象。年平均人数指年初、年底人口数的平均数，也可用年中人口数代替。		‰
63	人口死亡率	A030202	死亡率(又称粗死亡率)指在一定时期内(通常为一年)一定地区的死亡人数与同期内平均人数(或期中人数)之比，用千分率表示。本资料中的死亡率指年死亡率，其计算公式为：死亡率=年死亡人口/年平均人口*1000‰		‰
64	人口自然增长率	A030203	人口自然增长率指在一定时期内(通常为一年)人口自然增加数(出生人数减死亡人数)与该时期内平均人数(或期中人数)之比，用千分率表示。计算公式为：人口自然增长率=（年出生人口-年死亡人口）/年平均人口*1000‰=人口出生率－人口死亡率		‰
65	平均预期寿命	A030301	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	平均预期寿命根据人口普查数据计算。	岁
66	男性平均预期寿命	A030302	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	平均预期寿命根据人口普查数据计算。	岁
67	女性平均预期寿命	A030303	平均预期寿命是指已经活到一定岁数的人平均还能再活的年数。它是反映人类健康水平、死亡水平的综合指标，其高低主要受社会经济条件和医疗水平等因素的制约，不同社会、不同时期有很大差别。在不特别指明岁数的情况下，平均预期寿命就是指0岁人口的平均预期寿命。	平均预期寿命根据人口普查数据计算。	岁
68	人口数(人口抽样调查)	A030801			
69	户数、户人口及户规模(人口抽样调查)	A030802			
70	按户口登记状况分人口数(人口抽样调查)	A030803			
71	人口年龄构成和抚养比(人口抽样调查)	A030804			
72	按婚姻状况分人口数(人口抽样调查)	A030805			
73	按受教育程度分人口数(人口抽样调查)	A030806			
74	15岁及以上文盲人口(人口抽样调查)	A030807			
75	按家庭户规模分的户数(人口抽样调查)	A030808			
76	城镇单位就业人员	A040101	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
77	农林牧渔业城镇单位就业人员	A040102	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
78	采矿业城镇单位就业人员	A040103	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
79	制造业城镇单位就业人员	A040104	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
80	电力、燃气及水的生产和供应业城镇单位就业人员	A040105	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
81	建筑业城镇单位就业人员	A040106	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
82	交通运输、仓储及邮电通信业城镇单位就业人员	A040107	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
83	信息传输、计算机服务和软件业城镇单位就业人员	A040108	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
84	批发和零售业城镇单位就业人员	A040109	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
85	住宿和餐饮业城镇单位就业人员	A04010A	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
86	金融业城镇单位就业人员	A04010B	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
87	房地产业城镇单位就业人员	A04010C	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
88	租赁和商务服务业城镇单位就业人员	A04010D	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
89	科学研究、技术服务和地质勘查业城镇单位就业人员	A04010E	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
90	水利、环境和公共设施管理业城镇单位就业人员	A04010F	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
91	居民服务和其他服务业城镇单位就业人员	A04010G	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
92	教育业城镇单位就业人员	A04010H	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
93	卫生、社会保障和社会福利业城镇单位就业人员	A04010I	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
94	文化、体育和娱乐业城镇单位就业人员	A04010J	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
95	公共管理和社会组织城镇单位就业人员	A04010K	城镇单位就业人员指在各级国家机关、政党机关、社会团体及企业、事业单位中工作，取得工资或其他形式的劳动报酬的全部人员。包括在岗职工、再就业的离退休人员、民办教师以及在各单位中工作的外方人员和港澳台方人员、兼职人员、借用的外单位人员和第二职业者。不包括离开本单位仍保留劳动关系的职工。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
96	私营企业和个体就业人员	A040201	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
97	制造业私营企业和个体就业人员	A040202	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
98	建筑业私营企业和个体就业人员	A040203	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
99	交通运输、仓储和邮政业私营企业和个体就业人员	A040204	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
100	批发和零售业私营企业和个体就业人员	A040205	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
101	住宿和餐饮业私营企业和个体就业人员	A040206	就业人员数是指在16周岁及以上，从事一定社会劳动并取得劳动报酬或经营收入的人员。就业人员包括：(1)职工、(2)再就业的离退休人员、(3)私营业主、(4)个体户主、(5)私营企业和个体就业人员、(6)乡镇企业就业人员、(7)农村就业人员、(8)其他就业人员。第一产业是指农、林、牧、渔业。	全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。||城镇单位数据不含私营单位。||2012年行业采用新的分类标准，与前期不可比。	万人
